"回答ID","投稿日時","最終ページ","開始言語","シード","開始日時","最終行動日時","IPアドレス","学籍番号を記入して下さい．(回答必須)","あなたの学年を教えてください．(回答必須)","あなたは留学生ですか？(回答必須)","あなたが所属している学科を選択してください．(回答必須)","あなたが所属している学科を選択してください．(回答必須) [その他]","次の中から所属するコースを選択してください．(回答必須)","次の中から所属するコースを選択してください．(回答必須) [その他]","この授業に対する興味の度合いを教えて下さい。（回答必須）  1=全く興味がない，5=とても興味がある ","授業内容（シラバス）の説明を受けて，この授業の概要や進め方，この授業で身につく能力についてどの程度理解できましたか？(回答必須)  1=全く理解できなかった，5=よく理解できた ","授業内容（シラバス）の説明を受けて，この授業に対して感じたことを記入して下さい．","この授業を受講するにあたって，あなた自身の達成目標は何ですか？","この授業はあなたの将来（就職活動，卒業後）にどれくらい役立つと思いますか？（必須項目）  1=全く役に立たない，5=非常に役に立つ ","この授業にどれくらい期待していますか？（回答必須）  1=全く期待していない，5=非常に期待している ","この授業を受講する理由を教えて下さい．（複数回答可）  [必修授業だから]","この授業を受講する理由を教えて下さい．（複数回答可）  [興味があったから]","この授業を受講する理由を教えて下さい．（複数回答可）  [単位取得のため]","この授業を受講する理由を教えて下さい．（複数回答可）  [その他]","この授業にどれくらい学習意欲を持って受講できそうですか？（必須回答）  1=全く持てない, 5=非常に持てる ","あなたが学習意欲を持って受講できる授業とはどのような授業ですか？","この授業に対するあなたの考え（単位について）に最も近いものを選んで下さい．（必須項目）","この授業に対するあなたの考え（内容について）に最も近いものを選んで下さい．（必須項目）","合計時間","グループ時刻: 所属","質問時刻: G00Q01","質問時刻: G00Q02","質問時刻: G00Q03","質問時刻: G00Q04","質問時刻: G00Q05","グループ時刻: 授業改善のための質問","質問時刻: G02Q07","質問時刻: G02Q06","質問時刻: G02Q08","質問時刻: G02Q10","質問時刻: G02Q14","質問時刻: G02Q16","質問時刻: G02Q09","質問時刻: G02Q11","質問時刻: G02Q12","質問時刻: G02Q13","質問時刻: G02Q15"
"72","2023-04-24 13:26:17","2","ja","1325221748","2023-04-24 13:25:09","2023-04-24 13:26:17","150.97.96.183","2112200851","学部3年","いいえ","地域未来デザイン工学科","","情報デザイン・コミュニケーション工学コース","","5","4","","","4","4","はい","いいえ","はい","","4","","単位が欲しい","多くのことを学びたい","68.21","25","","","","","","43.21","","","","","","","","","","",""
"73","2023-04-24 13:26:16","2","ja","684506802","2023-04-24 13:25:09","2023-04-24 13:26:16","150.97.96.170","2112202021","学部3年","いいえ","地域未来デザイン工学科","","情報デザイン・コミュニケーション工学コース","","4","4","","","4","4","はい","はい","はい","","4","","単位も欲しい","ある程度学びたい","65.97","24.57","","","","","","41.4","","","","","","","","","","",""
"74","2023-04-24 13:26:58","2","ja","711881338","2023-04-24 13:25:09","2023-04-24 13:26:58","150.97.96.191","2112200300","学部3年","いいえ","地域未来デザイン工学科","","情報デザイン・コミュニケーション工学コース","","4","5","","","5","5","はい","はい","はい","","5","","単位も欲しい","多くのことを学びたい","107.67","21.49","","","","","","86.18","","","","","","","","","","",""
"75","2023-04-24 13:27:21","2","ja","25293824","2023-04-24 13:25:16","2023-04-24 13:27:21","150.97.96.168","2112200336","学部3年","いいえ","地域未来デザイン工学科","","情報デザイン・コミュニケーション工学コース","","5","4","","プログラミングがある程度できるようにする。","4","5","はい","はい","いいえ","","5","","単位も欲しい","多くのことを学びたい","124.79","25.97","","","","","","98.82","","","","","","","","","","",""
"76","2023-04-24 13:26:06","2","ja","855378730","2023-04-24 13:25:18","2023-04-24 13:26:06","150.97.96.172","2112200656","学部3年","いいえ","地域未来デザイン工学科","","情報デザイン・コミュニケーション工学コース","","4","4","","","4","5","はい","いいえ","はい","","4","","単位が欲しい","多くのことを学びたい","47.47","21.76","","","","","","25.71","","","","","","","","","","",""
"77","2023-04-24 13:26:43","2","ja","1512150906","2023-04-24 13:25:29","2023-04-24 13:26:43","150.97.96.187","2112201062","学部3年","いいえ","地域未来デザイン工学科","","情報デザイン・コミュニケーション工学コース","","3","5","","","5","5","はい","いいえ","いいえ","","4","","単位が欲しい","ある程度学びたい","72.74","32.36","","","","","","40.38","","","","","","","","","","",""
"78","2023-04-24 13:27:32","2","ja","1919054523","2023-04-24 13:25:29","2023-04-24 13:27:32","150.97.96.114","2112200370","学部3年","いいえ","地域未来デザイン工学科","","情報デザイン・コミュニケーション工学コース","","4","4","","","4","4","はい","はい","いいえ","","4","","単位も欲しい","多くのことを学びたい","122.59","62.64","","","","","","59.95","","","","","","","","","","",""
"79","2023-04-24 13:26:30","2","ja","642456644","2023-04-24 13:25:30","2023-04-24 13:26:30","150.97.96.182","2112200151","学部3年","いいえ","地域未来デザイン工学科","","情報デザイン・コミュニケーション工学コース","","4","4","","","4","4","はい","いいえ","いいえ","","4","","単位も欲しい","ある程度学びたい","59.83","35.58","","","","","","24.25","","","","","","","","","","",""
"80","2023-04-24 13:27:16","2","ja","2054371164","2023-04-24 13:25:35","2023-04-24 13:27:16","150.97.96.192","2112201993","学部3年","いいえ","地域未来デザイン工学科","","情報デザイン・コミュニケーション工学コース","","4","5","","","4","4","いいえ","はい","はい","","4","","単位も欲しい","多くのことを学びたい","101.32","28.55","","","","","","72.77","","","","","","","","","","",""
"81","2023-04-24 13:28:41","2","ja","376591604","2023-04-24 13:25:57","2023-04-24 13:28:41","150.97.96.133","2112200716","学部3年","いいえ","地域未来デザイン工学科","","情報デザイン・コミュニケーション工学コース","","5","4","","作成するプログラムに必要な関数をスムーズに思いつけるようにする。","5","5","はい","はい","はい","","5","","単位も欲しい","多くのことを学びたい","164.21","23.86","","","","","","140.35","","","","","","","","","","",""
"82","2023-04-24 13:29:45","2","ja","1869377246","2023-04-24 13:26:59","2023-04-24 13:29:45","150.97.96.169","2112200110","学部3年","いいえ","地域未来デザイン工学科","","情報デザイン・コミュニケーション工学コース","","5","4","リアルタイムでランキングを見せられるのはかなりしんどい","基礎分野の理解を深め、応用演習をより多く解けるようにする。","5","5","はい","いいえ","はい","","4","","単位よりも内容","多くのことを学びたい","166.64","23.05","","","","","","143.59","","","","","","","","","","",""
"83","2023-04-24 13:40:32","2","ja","794459843","2023-04-24 13:39:00","2023-04-24 13:40:32","150.97.96.132","2112200086","学部3年","いいえ","地域未来デザイン工学科","","情報デザイン・コミュニケーション工学コース","","4","4","","","4","3","いいえ","はい","はい","","4","","単位が欲しい","多くのことを学びたい","74.66","28.32","","","","","","46.34","","","","","","","","","","",""
"84","","","ja","168150076","2023-04-24 13:46:15","2023-04-24 13:46:15","119.241.148.1","","","","","","","","","","","","","","N/A","N/A","N/A","","","","","","0","","","","","","","","","","","","","","","","","",""

